iteration : 19, ce : 0.3630026876926422, total_loss : 0.3630026876926422, time : 106
iteration : 39, ce : 0.2443772740662098, total_loss : 0.2443772740662098, time : 70
iteration : 59, ce : 0.2546237863600254, total_loss : 0.2546237863600254, time : 70
iteration : 79, ce : 0.236195744946599, total_loss : 0.236195744946599, time : 69
iteration : 99, ce : 0.21219043731689452, total_loss : 0.21219043731689452, time : 69
iteration : 119, ce : 0.24940604567527772, total_loss : 0.24940604567527772, time : 68
iteration : 139, ce : 0.21009241715073584, total_loss : 0.21009241715073584, time : 68
iteration : 159, ce : 0.192026874050498, total_loss : 0.192026874050498, time : 67
iteration : 179, ce : 0.2241494618356228, total_loss : 0.2241494618356228, time : 67
iteration : 199, ce : 0.21217699982225896, total_loss : 0.21217699982225896, time : 67
iteration : 219, ce : 0.20922993682324886, total_loss : 0.20922993682324886, time : 67
iteration : 239, ce : 0.19519004188477992, total_loss : 0.19519004188477992, time : 67
