iteration : 19, ce : 0.40465380623936653, dice : 0.7317460164427757, total_loss : 1.1363998264074326, time : 86
iteration : 39, ce : 0.22876777909696103, dice : 0.5629358530044556, total_loss : 0.7917036324739456, time : 47
iteration : 59, ce : 0.214547199010849, dice : 0.5097272664308548, total_loss : 0.724274468421936, time : 51
iteration : 79, ce : 0.19435717761516572, dice : 0.5408740967512131, total_loss : 0.735231277346611, time : 52
iteration : 99, ce : 0.21738700196146965, dice : 0.5573164761066437, total_loss : 0.7747034728527069, time : 52
iteration : 119, ce : 0.2802297655493021, dice : 0.5218525603413582, total_loss : 0.8020823329687119, time : 52
iteration : 139, ce : 0.20967136472463607, dice : 0.5007329016923905, total_loss : 0.7104042619466782, time : 51
iteration : 159, ce : 0.2005723688751459, dice : 0.5458551898598671, total_loss : 0.7464275598526001, time : 51
iteration : 179, ce : 0.2409382753074169, dice : 0.5543442010879517, total_loss : 0.7952824771404267, time : 52
iteration : 199, ce : 0.20631453059613705, dice : 0.5595265030860901, total_loss : 0.7658410340547561, time : 51
iteration : 219, ce : 0.21024223789572716, dice : 0.539451739192009, total_loss : 0.7496939808130264, time : 50
iteration : 239, ce : 0.20183933563530446, dice : 0.5261700138449669, total_loss : 0.7280093431472778, time : 47
iteration : 259, ce : 0.23417159877717494, dice : 0.53376904129982, total_loss : 0.7679406434297562, time : 48
iteration : 279, ce : 0.17784081511199473, dice : 0.5496206149458885, total_loss : 0.7274614334106445, time : 48
iteration : 299, ce : 0.20278607532382012, dice : 0.5615784525871277, total_loss : 0.7643645271658898, time : 49
iteration : 319, ce : 0.20474084243178367, dice : 0.5430659517645836, total_loss : 0.7478067994117736, time : 49
iteration : 339, ce : 0.2054646760225296, dice : 0.5198432952165604, total_loss : 0.72530797123909, time : 49
iteration : 359, ce : 0.17612657360732556, dice : 0.549758180975914, total_loss : 0.725884759426117, time : 50
iteration : 379, ce : 0.19176088497042656, dice : 0.533792196214199, total_loss : 0.7255530834197998, time : 53
iteration : 399, ce : 0.19361055195331572, dice : 0.567621786892414, total_loss : 0.7612323343753815, time : 53
iteration : 419, ce : 0.18992102034389974, dice : 0.5402387887239456, total_loss : 0.7301598101854324, time : 52
iteration : 439, ce : 0.21637402661144733, dice : 0.49746265113353727, total_loss : 0.7138366803526879, time : 52
iteration : 459, ce : 0.19270318523049354, dice : 0.5481470599770546, total_loss : 0.7408502459526062, time : 52
iteration : 479, ce : 0.20160144045948983, dice : 0.5040507465600967, total_loss : 0.7056521832942962, time : 56
iteration : 499, ce : 0.18522578589618205, dice : 0.5846791699528694, total_loss : 0.7699049592018128, time : 56
iteration : 519, ce : 0.2265529666095972, dice : 0.5391475617885589, total_loss : 0.7657005250453949, time : 56
iteration : 539, ce : 0.21875875927507876, dice : 0.5145319506525994, total_loss : 0.7332907110452652, time : 56
iteration : 559, ce : 0.18158042207360267, dice : 0.5093766689300537, total_loss : 0.6909570902585983, time : 52
iteration : 579, ce : 0.23218503594398499, dice : 0.539454172551632, total_loss : 0.7716392010450364, time : 52
iteration : 599, ce : 0.17415839210152625, dice : 0.5186620414257049, total_loss : 0.6928204357624054, time : 51
iteration : 619, ce : 0.18942672796547413, dice : 0.49461587369441984, total_loss : 0.6840426012873649, time : 52
iteration : 639, ce : 0.19748265147209168, dice : 0.5313781589269638, total_loss : 0.7288608103990555, time : 52
iteration : 659, ce : 0.193544240295887, dice : 0.5144969269633293, total_loss : 0.7080411672592163, time : 52
iteration : 679, ce : 0.1991832371801138, dice : 0.49313906729221346, total_loss : 0.6923223018646241, time : 52
iteration : 699, ce : 0.19457116201519967, dice : 0.5334540322422981, total_loss : 0.7280252024531364, time : 52
iteration : 719, ce : 0.15152030847966672, dice : 0.5189936265349389, total_loss : 0.6705139324069023, time : 53
iteration : 739, ce : 0.21660229302942752, dice : 0.5488036632537842, total_loss : 0.7654059499502182, time : 52
iteration : 759, ce : 0.19816616140305995, dice : 0.5058268859982491, total_loss : 0.7039930492639541, time : 52
iteration : 779, ce : 0.2179073803126812, dice : 0.5113462314009667, total_loss : 0.7292536079883576, time : 51
iteration : 799, ce : 0.18136647194623948, dice : 0.5112168818712235, total_loss : 0.6925833553075791, time : 52
iteration : 819, ce : 0.17810923792421818, dice : 0.5516351491212845, total_loss : 0.7297443866729736, time : 52
iteration : 839, ce : 0.18638548552989959, dice : 0.561125998198986, total_loss : 0.7475114822387695, time : 48
iteration : 859, ce : 0.17062777206301688, dice : 0.5347162321209907, total_loss : 0.7053440034389495, time : 48
iteration : 879, ce : 0.1756566282361746, dice : 0.495158825814724, total_loss : 0.6708154588937759, time : 48
iteration : 899, ce : 0.18950763009488583, dice : 0.5267028957605362, total_loss : 0.7162105202674866, time : 49
iteration : 919, ce : 0.18946685865521432, dice : 0.48190740793943404, total_loss : 0.6713742613792419, time : 50
iteration : 939, ce : 0.20100826621055604, dice : 0.5058414787054062, total_loss : 0.7068497538566589, time : 52
iteration : 959, ce : 0.18212706968188286, dice : 0.4917163521051407, total_loss : 0.6738434240221978, time : 49
iteration : 979, ce : 0.1887432061135769, dice : 0.5450066834688186, total_loss : 0.733749894797802, time : 53
iteration : 999, ce : 0.15638456009328366, dice : 0.4977022185921669, total_loss : 0.6540867775678635, time : 52
saved model in ./experiment/model/semantic_sam/model.pth
iteration : 999, mIoU : 86.92247772216797, OA : 94.51455688476562, best_valid_mIoU : 86.92247772216797, time : 799
iteration : 1019, ce : 0.20298394449055196, dice : 0.47533307820558546, total_loss : 0.6783170208334923, time : 860
iteration : 1039, ce : 0.19372201189398766, dice : 0.47920922338962557, total_loss : 0.6729312345385552, time : 49
iteration : 1059, ce : 0.2082225676625967, dice : 0.5342569857835769, total_loss : 0.7424795508384705, time : 52
iteration : 1079, ce : 0.18133892230689524, dice : 0.48673726469278333, total_loss : 0.6680761814117432, time : 51
iteration : 1099, ce : 0.16742260605096818, dice : 0.48021903783082964, total_loss : 0.6476416379213333, time : 51
iteration : 1119, ce : 0.18464328944683076, dice : 0.4763586714863777, total_loss : 0.6610019624233245, time : 50
iteration : 1139, ce : 0.15944123975932598, dice : 0.49857334047555923, total_loss : 0.6580145806074142, time : 49
iteration : 1159, ce : 0.20960403196513652, dice : 0.5280927315354347, total_loss : 0.7376967579126358, time : 49
iteration : 1179, ce : 0.17024984024465084, dice : 0.47326445281505586, total_loss : 0.6435142874717712, time : 49
iteration : 1199, ce : 0.16772194430232049, dice : 0.5103083968162536, total_loss : 0.6780303418636322, time : 49
iteration : 1219, ce : 0.18129347097128629, dice : 0.5203211903572083, total_loss : 0.7016146555542946, time : 49
iteration : 1239, ce : 0.16827211976051332, dice : 0.49930959939956665, total_loss : 0.6675817146897316, time : 49
iteration : 1259, ce : 0.20623687393963336, dice : 0.49568142294883727, total_loss : 0.7019182994961739, time : 49
iteration : 1279, ce : 0.21847349908202887, dice : 0.5210242316126823, total_loss : 0.7394977286458015, time : 49
iteration : 1299, ce : 0.18044976964592935, dice : 0.5121650621294975, total_loss : 0.6926148355007171, time : 49
iteration : 1319, ce : 0.19908299595117568, dice : 0.47814423888921737, total_loss : 0.6772272422909736, time : 49
iteration : 1339, ce : 0.2134300611913204, dice : 0.5461827039718627, total_loss : 0.7596127659082412, time : 49
iteration : 1359, ce : 0.1700716894119978, dice : 0.5042665883898735, total_loss : 0.674338273704052, time : 49
iteration : 1379, ce : 0.20179848484694957, dice : 0.5166942775249481, total_loss : 0.7184927582740783, time : 49
iteration : 1399, ce : 0.19901802390813828, dice : 0.4651004493236542, total_loss : 0.6641184762120247, time : 49
iteration : 1419, ce : 0.15622028522193432, dice : 0.4860632613301277, total_loss : 0.6422835499048233, time : 49
iteration : 1439, ce : 0.19258008413016797, dice : 0.5024578556418419, total_loss : 0.6950379371643066, time : 49
iteration : 1459, ce : 0.18348429016768933, dice : 0.4690998338162899, total_loss : 0.6525841310620308, time : 49
iteration : 1479, ce : 0.18036518841981888, dice : 0.5405844941735267, total_loss : 0.7209496825933457, time : 49
iteration : 1499, ce : 0.1677937913686037, dice : 0.5022406697273254, total_loss : 0.6700344666838646, time : 49
iteration : 1519, ce : 0.1668331243097782, dice : 0.5174190059304238, total_loss : 0.6842521339654922, time : 49
iteration : 1539, ce : 0.19698082096874714, dice : 0.5034649923443795, total_loss : 0.7004458129405975, time : 49
iteration : 1559, ce : 0.14958783090114594, dice : 0.5078413501381874, total_loss : 0.6574291855096817, time : 49
iteration : 1579, ce : 0.19716126061975955, dice : 0.5165276527404785, total_loss : 0.7136889189481735, time : 49
iteration : 1599, ce : 0.17776469998061656, dice : 0.4809869065880775, total_loss : 0.6587516039609909, time : 49
iteration : 1619, ce : 0.1926939807832241, dice : 0.47464514151215553, total_loss : 0.667339126765728, time : 49
iteration : 1639, ce : 0.15893011204898358, dice : 0.5011518478393555, total_loss : 0.6600819587707519, time : 49
iteration : 1659, ce : 0.19202300272881984, dice : 0.5245831742882728, total_loss : 0.7166061788797379, time : 49
iteration : 1679, ce : 0.16581956744194032, dice : 0.45911804437637327, total_loss : 0.6249376118183136, time : 49
iteration : 1699, ce : 0.1524087157100439, dice : 0.5045551896095276, total_loss : 0.6569638982415199, time : 49
iteration : 1719, ce : 0.19269997589290142, dice : 0.47650237530469897, total_loss : 0.6692023500800133, time : 49
iteration : 1739, ce : 0.19389159753918647, dice : 0.49639882892370224, total_loss : 0.6902904331684112, time : 49
iteration : 1759, ce : 0.1707143947482109, dice : 0.5114713624119759, total_loss : 0.6821857556700707, time : 49
iteration : 1779, ce : 0.19238922595977784, dice : 0.48807078450918195, total_loss : 0.6804600059986115, time : 49
iteration : 1799, ce : 0.1751370146870613, dice : 0.4856716498732567, total_loss : 0.6608086585998535, time : 49
iteration : 1819, ce : 0.1898171354085207, dice : 0.5102371647953987, total_loss : 0.7000543043017388, time : 49
iteration : 1839, ce : 0.18962654024362563, dice : 0.479522542655468, total_loss : 0.6691490888595581, time : 49
iteration : 1859, ce : 0.17073540464043618, dice : 0.53436019718647, total_loss : 0.7050956010818481, time : 49
iteration : 1879, ce : 0.18679173216223716, dice : 0.5247152760624886, total_loss : 0.7115070015192032, time : 49
iteration : 1899, ce : 0.15524034015834332, dice : 0.5140332818031311, total_loss : 0.6692736238241196, time : 49
iteration : 1919, ce : 0.1850106030702591, dice : 0.48661789745092393, total_loss : 0.6716284990310669, time : 49
iteration : 1939, ce : 0.17444685995578765, dice : 0.4820059806108475, total_loss : 0.6564528316259384, time : 49
iteration : 1959, ce : 0.18175575733184815, dice : 0.4928408145904541, total_loss : 0.6745965749025344, time : 49
iteration : 1979, ce : 0.20025720968842506, dice : 0.5027262702584266, total_loss : 0.7029834777116776, time : 49
iteration : 1999, ce : 0.179401745647192, dice : 0.48804662078619004, total_loss : 0.6674483612179756, time : 49
saved model in ./experiment/model/semantic_sam/model.pth
iteration : 1999, mIoU : 87.20503234863281, OA : 94.51825714111328, best_valid_mIoU : 87.20503234863281, time : 802
iteration : 2019, ce : 0.1879199009388685, dice : 0.5277985662221909, total_loss : 0.7157184690237045, time : 863
iteration : 2039, ce : 0.21330060716718435, dice : 0.5326168686151505, total_loss : 0.7459174782037735, time : 51
iteration : 2059, ce : 0.18318488784134387, dice : 0.5011539876461029, total_loss : 0.6843388676643372, time : 52
iteration : 2079, ce : 0.18984838128089904, dice : 0.524899636209011, total_loss : 0.7147480189800263, time : 51
iteration : 2099, ce : 0.16642497777938842, dice : 0.48408224433660507, total_loss : 0.6505072221159935, time : 51
iteration : 2119, ce : 0.17592600174248219, dice : 0.49753477424383163, total_loss : 0.6734607756137848, time : 51
iteration : 2139, ce : 0.13073169812560081, dice : 0.501310120522976, total_loss : 0.6320418223738671, time : 51
