iteration : 19, ce : 0.682038888335228, total_loss : 0.682038888335228, time : 61
iteration : 39, ce : 0.6309509962797165, total_loss : 0.6309509962797165, time : 19
iteration : 59, ce : 0.5976781487464905, total_loss : 0.5976781487464905, time : 19
iteration : 79, ce : 0.5520601868629456, total_loss : 0.5520601868629456, time : 20
iteration : 99, ce : 0.5652937069535255, total_loss : 0.5652937069535255, time : 22
iteration : 119, ce : 0.5259198784828186, total_loss : 0.5259198784828186, time : 22
iteration : 139, ce : 0.5047353878617287, total_loss : 0.5047353878617287, time : 23
iteration : 159, ce : 0.4829327404499054, total_loss : 0.4829327404499054, time : 23
iteration : 179, ce : 0.4474876210093498, total_loss : 0.4474876210093498, time : 24
iteration : 199, ce : 0.44952881783246995, total_loss : 0.44952881783246995, time : 24
iteration : 219, ce : 0.46052225679159164, total_loss : 0.46052225679159164, time : 24
iteration : 239, ce : 0.45140169113874434, total_loss : 0.45140169113874434, time : 24
iteration : 259, ce : 0.4404475837945938, total_loss : 0.4404475837945938, time : 24
iteration : 279, ce : 0.4407661736011505, total_loss : 0.4407661736011505, time : 24
iteration : 299, ce : 0.44641766995191573, total_loss : 0.44641766995191573, time : 24
iteration : 319, ce : 0.4500551000237465, total_loss : 0.4500551000237465, time : 24
iteration : 339, ce : 0.4292005866765976, total_loss : 0.4292005866765976, time : 24
iteration : 359, ce : 0.41237180680036545, total_loss : 0.41237180680036545, time : 24
iteration : 379, ce : 0.4540760427713394, total_loss : 0.4540760427713394, time : 24
iteration : 399, ce : 0.4439520791172981, total_loss : 0.4439520791172981, time : 24
iteration : 419, ce : 0.4305677756667137, total_loss : 0.4305677756667137, time : 24
iteration : 439, ce : 0.4125511720776558, total_loss : 0.4125511720776558, time : 24
iteration : 459, ce : 0.40251067727804185, total_loss : 0.40251067727804185, time : 24
iteration : 479, ce : 0.467317995429039, total_loss : 0.467317995429039, time : 24
iteration : 499, ce : 0.4426841512322426, total_loss : 0.4426841512322426, time : 24
iteration : 519, ce : 0.44820897132158277, total_loss : 0.44820897132158277, time : 24
iteration : 539, ce : 0.4309345230460167, total_loss : 0.4309345230460167, time : 24
iteration : 559, ce : 0.42766809165477754, total_loss : 0.42766809165477754, time : 24
iteration : 579, ce : 0.44838666170835495, total_loss : 0.44838666170835495, time : 24
iteration : 599, ce : 0.42286101430654527, total_loss : 0.42286101430654527, time : 24
iteration : 619, ce : 0.4048672154545784, total_loss : 0.4048672154545784, time : 24
iteration : 639, ce : 0.45736396312713623, total_loss : 0.45736396312713623, time : 24
iteration : 659, ce : 0.4194065824151039, total_loss : 0.4194065824151039, time : 24
iteration : 679, ce : 0.42365587651729586, total_loss : 0.42365587651729586, time : 24
iteration : 699, ce : 0.440864285826683, total_loss : 0.440864285826683, time : 24
iteration : 719, ce : 0.4387369692325592, total_loss : 0.4387369692325592, time : 24
iteration : 739, ce : 0.421861906349659, total_loss : 0.421861906349659, time : 24
iteration : 759, ce : 0.42783221453428266, total_loss : 0.42783221453428266, time : 24
iteration : 779, ce : 0.4441062793135643, total_loss : 0.4441062793135643, time : 24
iteration : 799, ce : 0.45901328772306443, total_loss : 0.45901328772306443, time : 24
iteration : 819, ce : 0.44299585074186326, total_loss : 0.44299585074186326, time : 24
iteration : 839, ce : 0.42877684384584425, total_loss : 0.42877684384584425, time : 24
iteration : 859, ce : 0.41661177277565004, total_loss : 0.41661177277565004, time : 24
iteration : 879, ce : 0.411919093132019, total_loss : 0.411919093132019, time : 24
iteration : 899, ce : 0.44547956734895705, total_loss : 0.44547956734895705, time : 24
iteration : 919, ce : 0.430826498568058, total_loss : 0.430826498568058, time : 24
iteration : 939, ce : 0.43013004809617994, total_loss : 0.43013004809617994, time : 24
iteration : 959, ce : 0.43942543119192123, total_loss : 0.43942543119192123, time : 24
iteration : 979, ce : 0.44266589283943175, total_loss : 0.44266589283943175, time : 24
iteration : 999, ce : 0.43463992029428483, total_loss : 0.43463992029428483, time : 24
iteration : 1019, ce : 0.4175417125225067, total_loss : 0.4175417125225067, time : 24
iteration : 1039, ce : 0.4223078295588493, total_loss : 0.4223078295588493, time : 24
iteration : 1059, ce : 0.4288493499159813, total_loss : 0.4288493499159813, time : 24
iteration : 1079, ce : 0.43579883873462677, total_loss : 0.43579883873462677, time : 24
iteration : 1099, ce : 0.4460077494382858, total_loss : 0.4460077494382858, time : 24
iteration : 1119, ce : 0.4444773644208908, total_loss : 0.4444773644208908, time : 24
iteration : 1139, ce : 0.42579389065504075, total_loss : 0.42579389065504075, time : 24
