iteration : 19, ce : 0.5769206613302231, total_loss : 0.5769206613302231, time : 88
iteration : 39, ce : 0.2948748700320721, total_loss : 0.2948748700320721, time : 53
iteration : 59, ce : 0.26714096702635287, total_loss : 0.26714096702635287, time : 54
iteration : 79, ce : 0.289888896420598, total_loss : 0.289888896420598, time : 52
iteration : 99, ce : 0.23815611153841018, total_loss : 0.23815611153841018, time : 54
iteration : 119, ce : 0.23996417224407196, total_loss : 0.23996417224407196, time : 51
iteration : 139, ce : 0.2654526263475418, total_loss : 0.2654526263475418, time : 49
iteration : 159, ce : 0.23848535493016243, total_loss : 0.23848535493016243, time : 49
iteration : 179, ce : 0.20800584107637404, total_loss : 0.20800584107637404, time : 49
iteration : 199, ce : 0.224228086322546, total_loss : 0.224228086322546, time : 50
iteration : 219, ce : 0.24883575551211834, total_loss : 0.24883575551211834, time : 50
iteration : 239, ce : 0.23483866043388843, total_loss : 0.23483866043388843, time : 50
iteration : 259, ce : 0.2116214945912361, total_loss : 0.2116214945912361, time : 50
iteration : 279, ce : 0.20194435231387614, total_loss : 0.20194435231387614, time : 50
iteration : 299, ce : 0.22132048867642878, total_loss : 0.22132048867642878, time : 50
iteration : 319, ce : 0.19876111894845963, total_loss : 0.19876111894845963, time : 52
iteration : 339, ce : 0.2186037886887789, total_loss : 0.2186037886887789, time : 50
iteration : 359, ce : 0.23764856681227683, total_loss : 0.23764856681227683, time : 50
iteration : 379, ce : 0.22970210686326026, total_loss : 0.22970210686326026, time : 50
iteration : 399, ce : 0.2090330421924591, total_loss : 0.2090330421924591, time : 50
iteration : 419, ce : 0.22886249013245105, total_loss : 0.22886249013245105, time : 50
iteration : 439, ce : 0.23825582191348077, total_loss : 0.23825582191348077, time : 50
iteration : 459, ce : 0.26748705133795736, total_loss : 0.26748705133795736, time : 50
iteration : 479, ce : 0.21575557738542556, total_loss : 0.21575557738542556, time : 50
iteration : 499, ce : 0.23939205557107926, total_loss : 0.23939205557107926, time : 50
iteration : 519, ce : 0.18933183401823045, total_loss : 0.18933183401823045, time : 50
iteration : 539, ce : 0.17435945868492125, total_loss : 0.17435945868492125, time : 50
iteration : 559, ce : 0.211928129196167, total_loss : 0.211928129196167, time : 50
iteration : 579, ce : 0.19802453443408014, total_loss : 0.19802453443408014, time : 50
iteration : 599, ce : 0.2176539335399866, total_loss : 0.2176539335399866, time : 50
iteration : 619, ce : 0.21861908100545407, total_loss : 0.21861908100545407, time : 50
iteration : 639, ce : 0.20669186040759085, total_loss : 0.20669186040759085, time : 50
iteration : 659, ce : 0.2063499003648758, total_loss : 0.2063499003648758, time : 50
iteration : 679, ce : 0.20121643804013728, total_loss : 0.20121643804013728, time : 50
iteration : 699, ce : 0.21112477406859398, total_loss : 0.21112477406859398, time : 50
iteration : 719, ce : 0.19288703612983227, total_loss : 0.19288703612983227, time : 50
iteration : 739, ce : 0.21424594484269618, total_loss : 0.21424594484269618, time : 50
iteration : 759, ce : 0.2466337688267231, total_loss : 0.2466337688267231, time : 50
iteration : 779, ce : 0.1967505883425474, total_loss : 0.1967505883425474, time : 50
iteration : 799, ce : 0.1889121402055025, total_loss : 0.1889121402055025, time : 50
iteration : 819, ce : 0.253082986548543, total_loss : 0.253082986548543, time : 50
iteration : 839, ce : 0.2170029602944851, total_loss : 0.2170029602944851, time : 50
iteration : 859, ce : 0.19342635944485664, total_loss : 0.19342635944485664, time : 50
iteration : 879, ce : 0.19927790872752665, total_loss : 0.19927790872752665, time : 50
iteration : 899, ce : 0.20211214646697045, total_loss : 0.20211214646697045, time : 50
iteration : 919, ce : 0.23039830215275287, total_loss : 0.23039830215275287, time : 50
iteration : 939, ce : 0.20420945212244987, total_loss : 0.20420945212244987, time : 50
iteration : 959, ce : 0.22738341763615608, total_loss : 0.22738341763615608, time : 50
