iteration : 19, ce : 0.5660328239202499, dice : 0.8184386909008026, total_loss : 1.3844715058803558, time : 87
iteration : 39, ce : 0.3696281433105469, dice : 0.7357156217098236, total_loss : 1.1053437829017638, time : 51
iteration : 59, ce : 0.3144294388592243, dice : 0.6627494424581528, total_loss : 0.9771788835525512, time : 52
iteration : 79, ce : 0.26025998815894125, dice : 0.6905659079551697, total_loss : 0.9508258998394012, time : 49
iteration : 99, ce : 0.24293189421296119, dice : 0.6459987848997116, total_loss : 0.8889306724071503, time : 49
iteration : 119, ce : 0.2162187721580267, dice : 0.6197858691215515, total_loss : 0.8360046416521072, time : 49
iteration : 139, ce : 0.20652036964893342, dice : 0.62666185349226, total_loss : 0.8331822216510772, time : 49
iteration : 159, ce : 0.2435673199594021, dice : 0.6120315283536911, total_loss : 0.8555988371372223, time : 49
iteration : 179, ce : 0.2366924300789833, dice : 0.5650664359331131, total_loss : 0.801758861541748, time : 49
iteration : 199, ce : 0.24647222757339476, dice : 0.6327809274196625, total_loss : 0.8792531549930572, time : 49
iteration : 219, ce : 0.16782432943582534, dice : 0.6032013729214668, total_loss : 0.7710257053375245, time : 49
iteration : 239, ce : 0.22081928439438342, dice : 0.5825663700699806, total_loss : 0.8033856511116028, time : 49
iteration : 259, ce : 0.2225993536412716, dice : 0.5518287271261215, total_loss : 0.774428078532219, time : 49
iteration : 279, ce : 0.2633928582072258, dice : 0.5145463049411774, total_loss : 0.777939161658287, time : 49
iteration : 299, ce : 0.19577891379594803, dice : 0.5908754855394364, total_loss : 0.786654406785965, time : 49
iteration : 319, ce : 0.22600036188960076, dice : 0.5865615457296371, total_loss : 0.812561908364296, time : 49
iteration : 339, ce : 0.22730593904852867, dice : 0.5741775095462799, total_loss : 0.8014834523200989, time : 49
iteration : 359, ce : 0.20225180722773076, dice : 0.5774594455957412, total_loss : 0.7797112464904785, time : 49
iteration : 379, ce : 0.24990872368216516, dice : 0.5677505478262901, total_loss : 0.8176592707633972, time : 49
iteration : 399, ce : 0.23552184365689754, dice : 0.5954196244478226, total_loss : 0.8309414714574814, time : 49
iteration : 419, ce : 0.23746085539460182, dice : 0.591466934978962, total_loss : 0.8289277940988541, time : 49
iteration : 439, ce : 0.18325236290693284, dice : 0.540370175242424, total_loss : 0.7236225366592407, time : 49
iteration : 459, ce : 0.21223523132503033, dice : 0.5350516960024834, total_loss : 0.7472869277000427, time : 49
iteration : 479, ce : 0.2063607882708311, dice : 0.5548606961965561, total_loss : 0.7612214893102646, time : 49
iteration : 499, ce : 0.2269365716725588, dice : 0.5869573518633843, total_loss : 0.813893923163414, time : 49
iteration : 519, ce : 0.20828595384955406, dice : 0.5317262217402459, total_loss : 0.7400121688842773, time : 49
iteration : 539, ce : 0.22816875204443932, dice : 0.5907861217856407, total_loss : 0.8189548790454865, time : 49
iteration : 559, ce : 0.1965191911906004, dice : 0.5549260511994362, total_loss : 0.7514452397823334, time : 49
iteration : 579, ce : 0.21243758574128152, dice : 0.5655786350369454, total_loss : 0.7780162125825882, time : 49
iteration : 599, ce : 0.23273312412202357, dice : 0.5487411811947822, total_loss : 0.7814743012189865, time : 49
iteration : 619, ce : 0.21997084245085716, dice : 0.5272178813815117, total_loss : 0.7471887201070786, time : 49
iteration : 639, ce : 0.23177026771008968, dice : 0.5263238206505776, total_loss : 0.7580940872430801, time : 49
iteration : 659, ce : 0.18608926758170127, dice : 0.5245583757758141, total_loss : 0.710647639632225, time : 49
iteration : 679, ce : 0.21341328993439673, dice : 0.50112743973732, total_loss : 0.7145407348871231, time : 49
iteration : 699, ce : 0.20150744356215, dice : 0.57565508633852, total_loss : 0.7771625369787216, time : 49
iteration : 719, ce : 0.21820699535310267, dice : 0.5706431522965432, total_loss : 0.7888501495122909, time : 49
iteration : 739, ce : 0.19840342849493026, dice : 0.5329663947224617, total_loss : 0.731369823217392, time : 49
iteration : 759, ce : 0.19915496334433555, dice : 0.5426116660237312, total_loss : 0.7417666330933571, time : 49
iteration : 779, ce : 0.20781184770166874, dice : 0.5633031219244004, total_loss : 0.7711149722337722, time : 49
iteration : 799, ce : 0.2362316694110632, dice : 0.581521189212799, total_loss : 0.8177528589963913, time : 49
iteration : 819, ce : 0.18572353273630143, dice : 0.5314973086118698, total_loss : 0.7172208517789841, time : 49
iteration : 839, ce : 0.1977295707911253, dice : 0.5794645786285401, total_loss : 0.777194157242775, time : 49
iteration : 859, ce : 0.20741126351058484, dice : 0.5713545590639114, total_loss : 0.7787658214569092, time : 49
iteration : 879, ce : 0.2625617329031229, dice : 0.5521837279200554, total_loss : 0.8147454589605332, time : 49
iteration : 899, ce : 0.22374295443296432, dice : 0.5245310291647911, total_loss : 0.7482739835977554, time : 49
iteration : 919, ce : 0.2126069139689207, dice : 0.5163312733173371, total_loss : 0.7289381861686707, time : 49
iteration : 939, ce : 0.19090787135064602, dice : 0.5925905734300614, total_loss : 0.7834984436631203, time : 49
iteration : 959, ce : 0.2325884025543928, dice : 0.5495959833264351, total_loss : 0.7821843892335891, time : 49
iteration : 979, ce : 0.21318033523857594, dice : 0.5265718191862107, total_loss : 0.7397521525621414, time : 49
iteration : 999, ce : 0.23067782931029795, dice : 0.5621468052268028, total_loss : 0.7928246259689331, time : 49
iteration : 1019, ce : 0.22813208661973478, dice : 0.5738789275288582, total_loss : 0.8020110070705414, time : 49
iteration : 1039, ce : 0.21145701147615908, dice : 0.5711100101470947, total_loss : 0.7825670197606087, time : 49
iteration : 1059, ce : 0.20149885937571527, dice : 0.5650041699409485, total_loss : 0.7665030241012574, time : 49
iteration : 1079, ce : 0.20206230729818345, dice : 0.590874832868576, total_loss : 0.7929371356964111, time : 49
iteration : 1099, ce : 0.19419452138245105, dice : 0.5382801100611687, total_loss : 0.732474634051323, time : 49
iteration : 1119, ce : 0.21803198307752608, dice : 0.5458302319049835, total_loss : 0.7638622105121613, time : 49
iteration : 1139, ce : 0.18896608278155327, dice : 0.5380080059170723, total_loss : 0.7269740909337997, time : 49
iteration : 1159, ce : 0.19645825996994973, dice : 0.5055698320269585, total_loss : 0.7020280927419662, time : 49
iteration : 1179, ce : 0.233573267608881, dice : 0.5480273723602295, total_loss : 0.7816006392240524, time : 49
iteration : 1199, ce : 0.20449207574129105, dice : 0.5352670878171921, total_loss : 0.739759162068367, time : 49
iteration : 1219, ce : 0.20095195695757867, dice : 0.5530741110444068, total_loss : 0.7540260702371597, time : 49
iteration : 1239, ce : 0.19150974340736865, dice : 0.519940048456192, total_loss : 0.7114497870206833, time : 49
iteration : 1259, ce : 0.2281866915524006, dice : 0.5226665824651718, total_loss : 0.7508532792329788, time : 49
iteration : 1279, ce : 0.1753740206360817, dice : 0.5651485905051231, total_loss : 0.7405226051807403, time : 49
iteration : 1299, ce : 0.20540477856993675, dice : 0.5469015538692474, total_loss : 0.7523063361644745, time : 49
iteration : 1319, ce : 0.2047752745449543, dice : 0.5467263430356979, total_loss : 0.7515016168355941, time : 49
iteration : 1339, ce : 0.20644077882170678, dice : 0.5262721672654151, total_loss : 0.7327129483222962, time : 49
iteration : 1359, ce : 0.201636016741395, dice : 0.5542448058724403, total_loss : 0.7558808147907257, time : 49
iteration : 1379, ce : 0.2032516270875931, dice : 0.5363833174109459, total_loss : 0.7396349489688874, time : 49
iteration : 1399, ce : 0.20870703719556333, dice : 0.5639412000775337, total_loss : 0.7726482421159744, time : 49
iteration : 1419, ce : 0.20612938962876798, dice : 0.5286874070763588, total_loss : 0.7348167896270752, time : 49
iteration : 1439, ce : 0.21456682309508324, dice : 0.5148160234093666, total_loss : 0.729382848739624, time : 49
iteration : 1459, ce : 0.21351617872714995, dice : 0.48762874454259875, total_loss : 0.7011449217796326, time : 49
iteration : 1479, ce : 0.1891305986791849, dice : 0.5754552498459816, total_loss : 0.7645858481526375, time : 49
iteration : 1499, ce : 0.19273204430937768, dice : 0.5609614938497544, total_loss : 0.7536935329437255, time : 49
iteration : 1519, ce : 0.16369361169636248, dice : 0.5513822615146637, total_loss : 0.7150758743286133, time : 49
iteration : 1539, ce : 0.20211753211915492, dice : 0.5298972591757775, total_loss : 0.7320147782564164, time : 49
iteration : 1559, ce : 0.2513834312558174, dice : 0.57471833974123, total_loss : 0.8261017769575119, time : 49
iteration : 1579, ce : 0.19045367538928987, dice : 0.5432736665010452, total_loss : 0.7337273433804512, time : 49
iteration : 1599, ce : 0.19559903293848038, dice : 0.5372254431247712, total_loss : 0.7328244775533677, time : 49
iteration : 1619, ce : 0.17962751369923352, dice : 0.5147555902600288, total_loss : 0.6943830966949462, time : 49
iteration : 1639, ce : 0.2312035121023655, dice : 0.5665402621030807, total_loss : 0.7977437734603882, time : 49
iteration : 1659, ce : 0.21881701052188873, dice : 0.5506563022732734, total_loss : 0.7694733142852783, time : 49
iteration : 1679, ce : 0.1860935676842928, dice : 0.5470615565776825, total_loss : 0.7331551223993301, time : 49
iteration : 1699, ce : 0.18405253291130066, dice : 0.5380939692258835, total_loss : 0.7221465036273003, time : 49
iteration : 1719, ce : 0.1917571511119604, dice : 0.5241369307041168, total_loss : 0.7158940851688385, time : 49
iteration : 1739, ce : 0.2229769727215171, dice : 0.5713982924818992, total_loss : 0.7943752616643905, time : 49
iteration : 1759, ce : 0.15795252844691277, dice : 0.5215841829776764, total_loss : 0.6795367076992989, time : 49
iteration : 1779, ce : 0.19564970694482325, dice : 0.5561336249113082, total_loss : 0.7517833292484284, time : 49
iteration : 1799, ce : 0.19270067438483238, dice : 0.5378137305378914, total_loss : 0.7305144041776657, time : 49
iteration : 1819, ce : 0.1856187667697668, dice : 0.5644174963235855, total_loss : 0.7500362664461135, time : 49
iteration : 1839, ce : 0.18585199043154715, dice : 0.5512923561036587, total_loss : 0.7371443510055542, time : 49
iteration : 1859, ce : 0.18232077583670617, dice : 0.5056604400277138, total_loss : 0.6879812240600586, time : 49
iteration : 1879, ce : 0.17743311412632465, dice : 0.5525227800011635, total_loss : 0.7299558937549591, time : 49
iteration : 1899, ce : 0.1686554480344057, dice : 0.5288980931043625, total_loss : 0.6975535377860069, time : 49
iteration : 1919, ce : 0.1718315366655588, dice : 0.518026752769947, total_loss : 0.689858290553093, time : 49
iteration : 1939, ce : 0.1871564734727144, dice : 0.5191547602415085, total_loss : 0.70631123483181, time : 49
iteration : 1959, ce : 0.20413188263773918, dice : 0.5383789777755738, total_loss : 0.7425108581781388, time : 49
iteration : 1979, ce : 0.22176427617669106, dice : 0.5147162050008773, total_loss : 0.7364804834127426, time : 49
iteration : 1999, ce : 0.20085726603865622, dice : 0.5082492738962173, total_loss : 0.7091065362095833, time : 49
iteration : 2019, ce : 0.20212936215102673, dice : 0.5565492451190949, total_loss : 0.7586786031723023, time : 49
iteration : 2039, ce : 0.1873946651816368, dice : 0.5550440981984138, total_loss : 0.7424387693405151, time : 49
iteration : 2059, ce : 0.18858056850731372, dice : 0.5265219554305076, total_loss : 0.7151025280356407, time : 49
iteration : 2079, ce : 0.2292677491903305, dice : 0.5224556043744087, total_loss : 0.7517233461141586, time : 49
iteration : 2099, ce : 0.1742175556719303, dice : 0.49747255742549895, total_loss : 0.671690110862255, time : 49
iteration : 2119, ce : 0.22649500481784343, dice : 0.5582749441266059, total_loss : 0.7847699493169784, time : 49
iteration : 2139, ce : 0.22022234387695788, dice : 0.5117348358035088, total_loss : 0.7319571912288666, time : 49
iteration : 2159, ce : 0.17672102451324462, dice : 0.4877739533782005, total_loss : 0.6644949734210968, time : 49
iteration : 2179, ce : 0.20608635619282722, dice : 0.562376220524311, total_loss : 0.7684625774621964, time : 49
iteration : 2199, ce : 0.19241678826510905, dice : 0.5474569395184516, total_loss : 0.7398737251758576, time : 49
iteration : 2219, ce : 0.2378581538796425, dice : 0.5343066111207009, total_loss : 0.7721647650003434, time : 49
iteration : 2239, ce : 0.2016765583306551, dice : 0.533269016444683, total_loss : 0.7349455744028092, time : 49
iteration : 2259, ce : 0.19169673547148705, dice : 0.5483539193868637, total_loss : 0.7400506570935249, time : 49
iteration : 2279, ce : 0.20003118999302388, dice : 0.536937652528286, total_loss : 0.7369688421487808, time : 49
iteration : 2299, ce : 0.17691613547503948, dice : 0.49582729637622835, total_loss : 0.672743433713913, time : 49
iteration : 2319, ce : 0.17060819640755653, dice : 0.508480915427208, total_loss : 0.6790891140699387, time : 49
iteration : 2339, ce : 0.19900280758738517, dice : 0.5466005876660347, total_loss : 0.7456034034490585, time : 49
iteration : 2359, ce : 0.19278391003608703, dice : 0.5262900412082672, total_loss : 0.7190739452838898, time : 49
iteration : 2379, ce : 0.2152209673076868, dice : 0.5435213446617126, total_loss : 0.7587423145771026, time : 49
iteration : 2399, ce : 0.18246953450143338, dice : 0.5218747645616532, total_loss : 0.704344293475151, time : 49
iteration : 2419, ce : 0.21048624105751515, dice : 0.5135544046759606, total_loss : 0.7240406394004821, time : 49
iteration : 2439, ce : 0.1978172268718481, dice : 0.5394433096051217, total_loss : 0.7372605383396149, time : 49
iteration : 2459, ce : 0.1938824336975813, dice : 0.5386651009321213, total_loss : 0.7325475335121154, time : 49
iteration : 2479, ce : 0.20339613147079944, dice : 0.5482387930154801, total_loss : 0.7516349226236343, time : 49
iteration : 2499, ce : 0.19017454162240027, dice : 0.51887117177248, total_loss : 0.7090457171201706, time : 49
iteration : 2519, ce : 0.1982093293219805, dice : 0.5297812521457672, total_loss : 0.7279905781149865, time : 49
iteration : 2539, ce : 0.21580309718847274, dice : 0.5393693655729294, total_loss : 0.7551724582910537, time : 49
iteration : 2559, ce : 0.1765863485634327, dice : 0.5099646165966988, total_loss : 0.6865509688854218, time : 49
iteration : 2579, ce : 0.19120038487017155, dice : 0.5792611598968506, total_loss : 0.7704615473747254, time : 49
iteration : 2599, ce : 0.2021334685385227, dice : 0.540346696972847, total_loss : 0.7424801588058472, time : 49
iteration : 2619, ce : 0.19437484815716743, dice : 0.5542195409536361, total_loss : 0.7485943883657455, time : 101
iteration : 2639, ce : 0.20296108797192575, dice : 0.5509627312421799, total_loss : 0.7539238288998604, time : 49
iteration : 2659, ce : 0.20729351788759232, dice : 0.5242783397436142, total_loss : 0.7315718591213226, time : 52
iteration : 2679, ce : 0.1681818850338459, dice : 0.4887406095862389, total_loss : 0.6569224894046783, time : 51
iteration : 2699, ce : 0.1861785188317299, dice : 0.5274321407079696, total_loss : 0.713610652089119, time : 50
iteration : 2719, ce : 0.23357297368347646, dice : 0.5344600766897202, total_loss : 0.7680330485105514, time : 50
iteration : 2739, ce : 0.18797361440956592, dice : 0.5247098043560982, total_loss : 0.7126834213733673, time : 50
iteration : 2759, ce : 0.17906049229204654, dice : 0.5468666180968285, total_loss : 0.7259271174669266, time : 49
iteration : 2779, ce : 0.18383045569062234, dice : 0.5282045602798462, total_loss : 0.7120350182056427, time : 49
iteration : 2799, ce : 0.18713688850402832, dice : 0.5456838101148606, total_loss : 0.7328206986188889, time : 49
iteration : 2819, ce : 0.1909258596599102, dice : 0.4874003276228905, total_loss : 0.6783261865377426, time : 49
iteration : 2839, ce : 0.19739552699029445, dice : 0.4938736155629158, total_loss : 0.6912691429257393, time : 49
iteration : 2859, ce : 0.20251675099134445, dice : 0.544093345105648, total_loss : 0.7466100931167603, time : 49
iteration : 2879, ce : 0.18786335401237012, dice : 0.5619303658604622, total_loss : 0.7497937172651291, time : 49
iteration : 2899, ce : 0.15864403881132602, dice : 0.5168432980775833, total_loss : 0.6754873335361481, time : 49
iteration : 2919, ce : 0.2003343615680933, dice : 0.5423709645867347, total_loss : 0.7427053272724151, time : 49
iteration : 2939, ce : 0.2011812251061201, dice : 0.523289030790329, total_loss : 0.7244702607393265, time : 49
iteration : 2959, ce : 0.2152893789112568, dice : 0.5334117069840432, total_loss : 0.7487010806798935, time : 49
iteration : 2979, ce : 0.18356181345880032, dice : 0.4850692644715309, total_loss : 0.6686310738325119, time : 49
iteration : 2999, ce : 0.1941172830760479, dice : 0.5651572123169899, total_loss : 0.7592745006084443, time : 49
iteration : 3019, ce : 0.1800838902592659, dice : 0.5090781420469284, total_loss : 0.6891620218753814, time : 49
iteration : 3039, ce : 0.18084055967628956, dice : 0.4960558280348778, total_loss : 0.6768963888287545, time : 49
iteration : 3059, ce : 0.2006842602044344, dice : 0.5115375384688378, total_loss : 0.712221796810627, time : 49
iteration : 3079, ce : 0.18921072520315646, dice : 0.5231790445744992, total_loss : 0.7123897716403007, time : 49
iteration : 3099, ce : 0.206243035197258, dice : 0.5246534466743469, total_loss : 0.7308964848518371, time : 49
iteration : 3119, ce : 0.18527282811701298, dice : 0.5093919426202774, total_loss : 0.6946647733449935, time : 49
iteration : 3139, ce : 0.18359958454966546, dice : 0.5597176253795624, total_loss : 0.743317212164402, time : 49
